Student_ID	Fname-Lname	Gender	BirthDay	Address_1	Address_2	Email	Program	Campus	Start_Date	
5777669	Fletcher Donaldson	M	1-481-403-4584	8851 Golf Lane	Somerset, NJ 08873	FDONALDSO	BSSWE	FR	2020-09-01
5659334	Ahmed McGregor	M	1-778-982-8131	66 Rockcrest St.	West Palm Beach, FL 33404	AMCGREGOR	BSSWE	FR	2020-09-01
5745839	Allison Petersen	F	1-917-734-5417	7785 North Pennington Circle	Piedmont, SC 29673	APETERSEN	BSSWE	FR	2020-09-01
5775832	Lucia Knight	F	1-689-580-3038	49 Main Street	Saint Johns, FL 32259	LKNIGH1	BSSWE	FR	2020-09-01
5858517	Harry Langevin	M	1-799-110-6853	587 S. Lafayette Street	Long Beach, NY 11561	HLANGEVIN	BSSWE	FR	2020-09-01
5991537	Rodney Bower	M	1-939-548-5991	9674 Kingston St.	Bountiful, UT 84010	RBOWE3	BSSWE	FR	2020-10-30
5688969	Pablo Lagunas	M	1-767-296-8044	90 Devonshire St.	Grand Island, NE 68801	PLAGUNAS	BSSWE	FR	2021-01-01
5004617	Olivia Gonzales	F	1-697-810-3236	9 Lincoln St.	Menasha, WI 54952	OGONZALES	BSSWE	FR	2019-09-01
5871602	Nayeli Orozco	F	1-528-276-3787	7855 Maiden St.	Waukesha, WI 53186	NOROZC2	BSSWE	FR	2020-09-01
5091054	Guillermo Byers	M	1-479-950-1135	1 Bear Hill St.	Bear, DE 19701	GBYER3	BSSWE	FR	2019-01-01
5906712	Terrance Mitchell	M	1-798-861-1168	988 East Lane	Mansfield, MA 02048	TMITCHELL	BSSWE	FR	2020-09-01
5458398	Graeme Elliott	M	1-581-133-3284	995 W. Lilac St.	Fairhope, AL 36532	GELLIOTT	BSSWE	FR	2019-01-01
5335495	Johannes Hendriksen	F	1-176-962-8023	359 Deerfield Lane	Sheboygan, WI 53081	JHENDRIKS	BSSWE	FR	2021-01-01
5033284	Tammy Mcmillan	F	1-266-162-5466	926 Southampton Street	Winter Haven, FL 33880	TMCMILLAN	BSSWE	FR	2020-09-01
5759162	Montse Sevilla	F	1-165-104-8724	242 Albany St.	Maspeth, NY 11378	MSEVILL2	BSSWE	FR	2021-05-01
5328904	Frank Guerra	M	1-738-165-8581	539 Ridge St.	Deer Park, NY 11729	FGUERRA	BSSWE	FR	2019-09-01
5038427	Danielle Mendoza	F	1-968-274-3510	41 Edgewood Dr.	Hanover, PA 17331	DMENDOZA	BSSWE	FR	2019-01-01
5283043	Darlene Hooper	F	1-592-979-9592	25 SW. Young Dr.	West Fargo, ND 58078	DHOOPER	BSSWE	FR	2017-09-01
5108250	Enrique Barber	M	1-555-362-5625	13 Galvin Ave.	Ankeny, IA 50023	EBARBER	BSSWE	FR	2017-09-01
5292552	Toby Cooley	M	1-482-633-5620	2 Bridge Drive	Cambridge, MA 02138	TCOOLEY	BSSWE	FR	2018-09-01
5782137	Aurelio Huffman	M	1-824-453-4120	111 San Pablo St.	Garfield, NJ 07026	AHUFFMA2	BSSWE	FR	2020-09-01
5056683	Naomi Koyama	F	1-571-429-4810	442 River St.	Wayne, NJ 07470	NKOYAMA	BSSWE	FR	2020-09-01
5097629	Ricky Guy	M	1-126-834-4892	806 Whitemarsh Drive	Hoffman Estates, IL 60169	RGUY	BSSWE	FR	2018-09-01
5698779	Lori Pearson	F	1-855-916-4027	7110 Rockledge Ave.	Gurnee, IL 60031	LPEARSON	BSSWE	FR	2020-09-01
5000311	Matthew Foster	M	1-871-494-2268	2 Ridge Rd.	Southampton, PA 18966	MFOSTER	BSSWE	FR	2019-01-01
5589869	Gawet Cichocki	M	1-492-866-6087	317 North Clinton Avenue	Altamonte Springs, FL 32714	GCICHOCK2	BSSWE	FR	2019-09-01
5901326	Homer Craig	M	1-194-275-3473	4 Bowman Street	Manchester Township, NJ 08759	HCRAIG	BSSWE	FR	2020-09-01
5121061	Merlin Lambert	M	1-324-632-3856	7225 Lakeview St.	Hempstead, NY 11550	MLAMBERT	BSSWE	FR	2019-01-01
5393022	Noe Mills	M	1-399-488-2043	58 Trusel St.	Fort Dodge, IA 50501	NMILL1	BSSWE	FR	2019-01-01
5836389	Shuhui Xu	M	1-729-256-7629	8995 Jennings Dr.	Dekalb, IL 60115	SXU	BSSWE	FR	2021-05-01
5396095	Adrienne Godbout	F	1-426-529-5913	15 Green Lake Drive	Clinton Township, MI 48035	AGODBOUT	BSSWE	FR	2018-09-01
5796785	Young Kirk	M	1-449-279-6006	9364 Miller Drive	Flushing, NY 11354	YKIRK	BSSWE	FR	2020-09-01
5367515	Miguel Fields	M	1-273-543-7610	190 Lawrence Lane	Fernandina Beach, FL 32034	MFIELDS	BSSWE	FR	2019-01-01
5139758	Elvia Serrano	F	1-491-167-3855	551 East Thorne Court	Longwood, FL 32779	ESERRANO	BSSWE	FR	2017-09-01
5943796	Aimee Funk	F	1-417-838-8160	5 Center Lane	Goshen, IN 46526	AFUNK	BSSWE	FR	2021-01-01
5467910	Jamel Logan	M	1-669-837-7053	8347 Cross Road	Thornton, CO 80241	JLOGAN	BSSWE	FR	2019-09-01
5004139	Colette Orr	F	1-652-865-9025	734 Old Inverness St.	Mount Holly, NJ 08060	CORR	BSSWE	FR	2018-09-01
5554524	Dean Newton	M	1-575-996-5828	90 NW. Pawnee Street	Port Huron, MI 48060	DNEWTON	BSSWE	FR	2019-09-01
5515063	Trudy Donahue	F	1-782-688-1597	9658 Vale St.	Baton Rouge, LA 70806	TDONAHUE	BSSWE	FR	2019-09-01
5761736	Kristie McKnight	F	1-342-137-4856	338 Pumpkin Hill St.	Peachtree City, GA 30269	KMCKNIGH2	BSSWE	FR	2020-09-01
5376321	Sylvie Rose	F	1-514-507-3900	86 Rockaway Road	Eau Claire, WI 54701	SROSE	BSSWE	FR	2020-09-01
5332478	Shirley Beck	F	1-285-329-7164	800 Ridgeview Drive	Buford, GA 30518	SBECK	BSSWE	FR	2019-09-01
5625655	Abigail Hays	F	1-772-555-4565	515 Lower River Avenue	Merrimack, NH 03054	AHAYS	BSSWE	FR	2019-09-01
5388133	Rick Zhang	M	1-615-279-9474	117 Armstrong Street	Lakeville, MN 55044	RZHANG	BSSWE	FR	2020-01-01
5542205	Yongjun Kuang	M	1-857-606-3519	8686 Halifax Rd.	Webster, NY 14580	YKUANG	BSSWE	FR	2020-01-01
5279553	Otha Jarvis	M	1-737-682-3229	75 Glen Eagles St.	Forney, TX 75126	OJARVIS	BSSWE	FR	2017-09-01
5800638	Graham Langlois	M	1-991-332-9374	7938 Atlantic Drive	Fayetteville, NC 28303	GLANGLOIS	BSSWE	FR	2020-09-01
5232746	Mustapha Chamorro	M	1-949-302-5865	21 Locust Avenue	Traverse City, MI 49684	MCHAMORR3	BSSWE	FR	2017-09-01
5350883	Beatrice Jones	F	1-735-633-7342	8622 Queen St.	Ladson, SC 29456	BJONES	BSSWE	FR	2018-09-01
5505233	Guadalupe Case	M	1-774-164-9733	87 Briarwood St.	Pickerington, OH 43147	GCAS1	BSSWE	SJ	2020-01-01
5562230	Angela Griffith	F	1-262-800-7087	352 Bear Hill Lane	Lake Villa, IL 60046	AGRIFFITH	BSSWE	FR	2019-09-01
5407191	Francoise Cohen	F	1-156-621-5412	102 Fremont Road	Shelton, CT 06484	FCOHEN	BSSWE	FR	2018-09-01
5508184	Ralph Blake	M	1-214-769-5632	9807 Bow Ridge Rd.	Bonita Springs, FL 34135	RBLAKE	BSSWE	FR	2019-09-01
5616467	Helena Gibson	F	1-925-996-2767	7735 Oklahoma Dr.	Grayslake, IL 60030	HGIBSO2	BSSWE	FR	2019-09-01
5269612	Sadayoshi Hagihara	M	1-715-481-2467	464 Tower Road	West Chicago, IL 60185	SHAGIHARA	BSSWE	FR	2018-01-01
5546330	Froukje Mulder	F	1-773-719-5563	48 South Harvey St.	Athens, GA 30605	FMULDE3	BSSWE	FR	2020-09-01
5504885	Susan Burgess	F	1-133-523-2564	62 West Rd.	Fort Myers, FL 33905	SBURGESS	BSSWE	FR	2020-09-01
5433186	Gloria Grewal	F	1-971-956-7067	614 Canal St.	Lady Lake, FL 32159	GGREWAL	BSSWE	FR	2018-09-01
5196088	Thomas Tucker	M	1-277-786-9907	14 Helen Dr.	Point Pleasant Beach, NJ 08742	TTUCKER	BSSWE	FR	2019-09-01
5228673	Xiaoyi Kong	F	1-521-906-9788	8754 South Lilac Lane	Manassas, VA 20109	XKONG	BSSWE	FR	2019-01-01
5638642	Dale Martinez	M	1-179-182-1575	87 Sleepy Hollow Dr.	Brownsburg, IN 46112	DMARTINE2	BSSWE	FR	2019-09-01
5477633	Mitch Lavallee	M	1-236-753-8993	8358 N. Lake Lane	Beloit, WI 53511	MLAVALLEE	BSSWE	FR	2019-09-01
5835354	Romelia Gama	F	1-235-926-6481	832 Lafayette Dr.	Union, NJ 07083	RGAM2	BSSWE	FR	2020-09-01
5276397	Alfred Perry	M	1-532-887-8987	143 Railroad Street	Leominster, MA 01453	APERRY	BSSWE	FR	2019-01-01
5034126	Eric Henry	M	1-614-226-8015	953 Canterbury Road	Poughkeepsie, NY 12601	EHENRY	BSSWE	FR	2015-09-01
5404051	Herschel Moran	M	1-915-586-3019	46 Princess Street	Shepherdsville, KY 40165	HMORAN	BSSWE	FR	2020-09-01
5286081	Marie Simpson	F	1-841-836-7849	148 N. Forest Ave.	Cambridge, MA 02138	MSIMPSON	BSSWE	FR	2017-09-01
5368298	Joe Chapman	M	1-575-133-6258	532 South Aspen Ave.	Stillwater, MN 55082	JCHAPMA1	BSSWE	FR	2020-01-01
5234796	Cuiping Lang	M	1-255-894-1891	308 West State St.	Severn, MD 21144	CLAN1	BSSWE	FR	2017-09-01
5216546	Stuart Miller	M	1-255-507-4389	8928 White Street	Dekalb, IL 60115	SMILLE3	BSSWE	FR	2017-09-01
5966323	Saul Cross	M	1-653-304-6344	92 N. Harrison St.	Endicott, NY 13760	SCROSS	BSSWE	FR	2021-05-01
5024185	Wilma Xu	F	1-381-793-8322	7244 Pumpkin Hill Ave.	Hazleton, PA 18201	WX2	BSSWE	FR	2018-09-01
5655883	Ricky Wells	M	1-426-845-7704	5 Pineknoll Street	Spring Valley, NY 10977	RWELLS	BSSWE	FR	2019-09-01
5455698	George Potter	M	1-954-979-6257	9140 Wayne Drive	Columbus, GA 31904	GPOTTER	BSSWE	FR	2018-09-01
5040398	Alex Audet	M	1-547-839-1327	10 Roosevelt St.	Dayton, OH 45420	AAUDET	BSSWE	FR	2016-01-01
5974927	Travis Chan	M	1-496-448-4719	4 Cross Drive	Romulus, MI 48174	TCHAN	BSSWE	FR	2021-05-01
